n,mean,increment,support_end,dominance_active_count,monotone_active_count,active_signature,signature_changed,tail_l1_move,solver_method,max_constraint_violation,d2_l1,d3_l1,d4_l1,d4_l2sq,tail_entropy,second_moment,third_moment
1,0.15,0.15,1,128,126,0641e25be0be00bce1c6,False,0.15,highs,0.0,0.85,0.7,0.5499999999999999,0.1824999999999999,0.422709087810504,0.15,0.15
2,0.2699999999999999,0.11999999999999991,1,128,126,0641e25be0be00bce1c6,False,0.11999999999999991,highs,0.0,0.7300000000000001,0.4600000000000002,0.34999999999999953,0.0792999999999999,0.5832588401331101,0.2699999999999999,0.2699999999999999
3,0.366,0.09600000000000009,1,128,126,0641e25be0be00bce1c6,False,0.09600000000000009,highs,0.0,0.634,0.46399999999999997,0.83,0.34925199999999995,0.6567924418485489,0.366,0.366
4,0.4428000000000001,0.07680000000000009,1,128,126,0641e25be0be00bce1c6,False,0.07680000000000009,highs,0.0,0.5571999999999999,0.7712000000000003,1.2140000000000004,0.7908212800000006,0.6865891520673132,0.4428000000000001,0.4428000000000001
5,0.5047111111111112,0.06191111111111114,2,128,125,e5e118bc41805453e385,True,0.061911111111111104,highs,0.0,0.510509401709402,1.0123213675213678,1.5134085470085472,1.2744165298502452,0.6990798618787615,0.5061606837606838,0.509059829059829
6,0.5597432098765434,0.055032098765432136,2,128,125,e5e118bc41805453e385,False,0.0550320987654322,highs,0.0,0.6310432025714079,1.1522372708013735,1.6637940536196947,1.5673179459301456,0.7424456269272104,0.5790177806998323,0.6175669223464102
7,0.6086606310013718,0.04891742112482844,2,128,125,e5e118bc41805453e385,False,0.048917421124828456,highs,4.163336342344337e-17,0.7127436063518474,1.230813608031405,1.7262359523805086,1.705621180096053,0.7864486077731402,0.6539559456622791,0.7445465749840937
8,0.6521427831123308,0.04348215211095896,2,128,125,e5e118bc41805453e385,False,0.04348215211095888,highs,0.0,0.7697103397722631,1.2724787152328105,1.7379034887804121,1.7435735125913439,0.8259609487425958,0.7268299869382223,0.8762043945900055
9,0.6909122910069762,0.038769507894645394,2,128,125,6cb81f1ab76b50a51747,True,0.03876950789464548,highs,0.0,0.8101560631571607,1.2910037062731228,1.719335187416331,1.720077202393842,0.8601937447845777,0.7959446149524834,1.0060092628434978
10,0.7304679700992335,0.03955567909225732,2,128,125,6cb81f1ab76b50a51747,False,0.03955567909225729,highs,0.0,0.8164454327380561,1.2469466207895743,1.6024561133291635,1.5054891005640414,0.9103541378456381,0.8804513611230913,1.1804181431708067
11,0.7691299313804957,0.0386619612812622,2,128,125,6cb81f1ab76b50a51747,False,0.038661961281262175,highs,0.0,0.8092956902500987,1.1799503385174837,1.450986166006591,1.2505005174566564,0.9587689484247903,0.9683675729370509,1.3668428560501615
12,0.8062736638962433,0.03714373251574765,2,128,125,6cb81f1ab76b50a51747,False,0.03714373251574769,highs,0.0,0.7971498601259779,1.1060866187720195,1.2906891511055107,1.0133748548765695,1.0008715080477875,1.0549421165213442,1.552279021771546
13,0.8417029400267078,0.03542927613046443,2,128,125,6cb81f1ab76b50a51747,False,0.035429276130464454,highs,0.0,0.7834342090437141,1.0317974602412945,1.1318257892315928,0.8125149718563308,1.0361892153915755,1.1383727844412717,1.7317124732703992
14,0.8753936004643816,0.03369066043767388,2,128,125,6cb81f1ab76b50a51747,False,0.03369066043767385,highs,0.0,0.7695252835013909,0.9595944696523694,0.9783325522249969,0.6510645970862164,1.0653733413893414,1.2180558076210835,1.9033802219344866
15,0.9081528759873574,0.03275927552297575,3,128,124,055bfc8298b95459f2fb,True,0.032759275522975806,highs,2.7755575615628914e-17,0.7573276947259991,0.8953620757148418,0.9448471140479415,0.5346871444937875,1.0967843013134435,1.2979586329444228,2.083898826135631
16,0.9403799852675437,0.03222710928018635,3,128,124,055bfc8298b95459f2fb,False,0.03222710928018636,highs,1.3877787807814457e-16,0.7464636560058951,0.838868367738811,0.9420200067606949,0.45158680746011987,1.1298603046404483,1.379939959788512,2.279823025835322
17,0.9718931350648485,0.031513149797304796,3,128,124,055bfc8298b95459f2fb,False,0.03151314979730471,highs,0.0,0.735686320279586,0.7864488209118314,0.934026858557742,0.38845565946860827,1.1620222410376166,1.4627194083832504,2.4847198964895214
18,1.0025859014159473,0.030692766351098744,3,128,124,055bfc8298b95459f2fb,False,0.03069276635109864,highs,5.551115123125783e-17,0.7248219276299005,0.7370378799305369,0.9221500934821253,0.33966205926389265,1.1924570354288844,1.5453897067988054,2.6944890919981255
19,1.0323900121358713,0.02980411071992406,3,128,124,055bfc8298b95459f2fb,False,0.02980411071992416,highs,5.551115123125783e-17,0.7139240883035728,0.707926858157062,0.9073987837825874,0.3019312865657847,1.2208155431729546,1.6272756384483846,2.9061624205110475
20,1.0612621328465823,0.02887212071071099,3,128,124,055bfc8298b95459f2fb,False,0.028872120710710946,highs,0.0,0.7030784014367474,0.7216119656237285,0.8905689038881839,0.27303397920091993,1.246960471819568,1.7078708801723639,3.117500264433745
21,1.0891772463133162,0.02791511346673392,3,128,124,055bfc8298b95459f2fb,False,0.027915113466734,highs,0.0,0.6923605467364808,0.7330383093012136,0.8722875830744963,0.251347545703225,1.2708728112802676,1.7867993242460423,3.326801196650079
22,1.1161243079805048,0.02694706166718852,3,128,124,055bfc8298b95459f2fb,False,0.02694706166718845,highs,5.551115123125783e-17,0.681829949938831,0.7426379958511944,0.8530475555297454,0.235648497747176,1.2926037834139141,1.863786992186389,3.5327812776084677
23,1.1421030090538804,0.025978701073375632,3,128,124,055bfc8298b95459f2fb,False,0.02597870107337557,highs,8.326672684688674e-17,0.6715311748233352,0.7507571935154467,0.8332344817543195,0.224989390902552,1.3122463005713365,1.9386402817575412,3.734485109525588
24,1.1671212554901989,0.025018246436318448,3,128,124,055bfc8298b95459f2fb,False,0.02501824643631853,highs,8.326672684688674e-17,0.6614965675949882,0.757673560642018,0.8131487371563608,0.21861861343711025,1.3299169570014662,2.0112287701473166,3.931216588976283
25,1.1913800083933193,0.024258752903120406,4,128,123,615dacbac7fff224c036,True,0.024258752903120195,highs,5.551115123125783e-17,0.6515017462491889,0.7650479311745294,0.7957616335093057,0.21838218685505933,1.3481740584461634,2.083007244049793,4.131423536501993
26,1.2149160949738276,0.023536086580508542,4,128,123,615dacbac7fff224c036,False,0.023536086580508486,highs,5.551115123125783e-17,0.6420969487829238,0.7715846122652348,0.779244138338594,0.2218952752991826,1.3656389653246046,2.1537577959156624,4.3329501715677585
27,1.2377580983669492,0.02284200339312159,4,128,123,615dacbac7fff224c036,False,0.02284200339312161,highs,5.551115123125783e-17,0.6331518558413103,0.7772090349206573,0.7632438801039784,0.22817306170580598,1.3823647744399092,2.2234557683077023,4.53508598578046
28,1.2599304478955395,0.022172349528590374,4,128,123,615dacbac7fff224c036,False,0.022172349528590332,highs,5.551115123125783e-17,0.6245849623148302,0.7819244045459212,0.7475798501765372,0.2364801865975406,1.398360718339467,2.292071865118071,4.737260384916443
29,1.281454998516701,0.021524550621161653,4,128,123,615dacbac7fff224c036,False,0.021524550621161563,highs,0.0,0.6163460426806606,0.7857691513153021,0.7321601992464,0.24624777330722583,1.4136452448956196,2.3595758516579646,4.938993551629931
30,1.3023519239803543,0.020896925463653293,4,128,123,615dacbac7fff224c036,False,0.020896925463653248,highs,5.551115123125783e-17,0.6084026239027532,0.7887985531125149,0.7169420008239303,0.2570290919175979,1.428241119382501,2.425939437690072,5.139873656552963
31,1.322640224777829,0.02028830079747479,4,128,123,615dacbac7fff224c036,False,0.020288300797474772,highs,0.0,0.6007323854054729,0.7910746469857672,0.727614697960883,0.2684703959603961,1.442172773323516,2.4911376704338597,5.3395426626593165
